R1
9.999731211867618486e-01,7.014958034330540972e-03,-2.132432362934683686e-03
-7.011088405537269953e-03,9.999737716926335729e-01,1.816746041273957285e-03
2.145120830081810939e-03,-1.801746537481027904e-03,9.999960760753209277e-01
R2
9.998755158036012336e-01,1.354141814091519395e-02,8.098326445338682039e-03
-1.352674355463509559e-02,9.999067718426011275e-01,-1.864090157571578286e-03
-8.122813877562201287e-03,1.754314122758502889e-03,9.999654705421928691e-01
P1
4.201098039218791200e+02,0.000000000000000000e+00,3.175548667907714844e+02,0.000000000000000000e+00
0.000000000000000000e+00,4.201098039218791200e+02,2.474890155792236328e+02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
P2
4.201098039218791200e+02,0.000000000000000000e+00,3.175548667907714844e+02,-1.031405463975277371e+03
0.000000000000000000e+00,4.201098039218791200e+02,2.474890155792236328e+02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
Q
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.175548667907714844e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.474890155792236328e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.201098039218791200e+02
0.000000000000000000e+00,0.000000000000000000e+00,4.073177994449223571e-01,-0.000000000000000000e+00
